generation,individual_id,Gap,Polearc,Mag_th,Bs0,AvgTorque,TorqueRipple,AvgEfficiency,is_valid
3,27,0.950238,0.652019,4.091264,2.935483,5.00598703987689,58.62709256014366,91.6209618802825,1
3,28,0.975153,0.70564,4.028217,2.686001,4.63316473403876,50.56942214007362,92.6686346222973,1
3,29,0.92489,0.691115,3.623522,1.67218,4.50811500734995,39.080101247995714,92.0794869513911,1
3,30,0.856386,0.747204,3.927831,2.116395,4.07843909075097,18.037490085833888,92.3708000078237,1
3,31,0.843834,0.729285,3.875744,2.132919,4.16240133693316,37.13144812491129,92.8709094339968,1
3,32,0.603947,0.667145,4.399809,2.007847,4.09854054358852,72.48057796139965,93.6420940882961,1
3,33,0.700662,0.740253,3.164097,1.739497,3.77250486513904,24.580078452726497,92.4175406650687,1
3,34,0.975153,0.706129,4.031281,2.686001,4.62970277888507,50.72882049361451,92.6721009101179,1
3,35,0.609527,0.72506,3.770976,1.655868,3.70814930197374,45.83470959115055,93.3945641405553,1
3,36,0.957937,0.665729,4.030339,3.037952,4.92258459373867,45.230365262856274,92.0457932797534,1
3,37,0.668589,0.65393,3.993218,1.597891,4.28209481221767,55.51819180986887,92.8729485764342,1
3,38,0.921911,0.670096,3.709308,2.388319,4.69460851395649,38.04630382976176,91.8619609568472,1
3,39,0.917092,0.695547,2.740174,2.066219,4.23015545544061,35.395036699634154,89.4905230731133,1
3,40,0.842659,0.729285,3.875744,2.132919,4.16004596316924,37.1443331553108,92.8741970847317,1
3,41,0.917092,0.695547,2.740174,2.066219,4.23015545544061,35.395036699634154,89.4905230731133,1
3,42,0.924782,0.680733,3.709822,1.68097,4.57562588622539,36.401307068347485,92.0348178883146,1
3,43,0.708549,0.735832,3.164111,1.739497,3.81168327555663,26.654710569033362,92.4854522218834,1
3,44,0.949227,0.654829,4.029894,2.686151,4.94410156361959,50.32846580192045,91.6644494266744,1
3,45,0.967853,0.662413,3.770976,2.339671,4.83046905743574,39.41783449882786,91.3406413351507,1
3,46,0.877707,0.670096,3.731121,2.388319,4.60697260890803,40.15295531423853,92.219970703682,1
3,47,0.68091,0.662415,4.339451,3.267551,4.35323618049793,66.76624273271042,93.5221609475107,1
4,0,0.976163,0.651124,4.092651,2.935333,5.07291368855681,57.87336142349552,91.3792667795842,1
4,1,0.976163,0.651136,4.092651,2.935333,5.07265592835722,57.86253276922202,91.3796022387038,1
4,2,0.975324,0.656768,4.153051,2.694862,5.01119080128716,47.920309278181115,91.7676363094892,1
4,3,0.975324,0.65678,4.153051,2.694862,5.01110406782499,47.909669392201835,91.7681709981322,1
4,4,0.975153,0.664456,4.031281,3.13095,4.98395945540362,48.03216106643252,91.8655163008428,1
4,5,0.975153,0.656643,4.031281,2.686001,4.97857041491688,47.174056332548645,92.6721009101179,1
4,6,0.96575,0.658844,4.15211,2.713813,4.97723599425676,46.86627712053061,91.9283189036609,1
4,7,0.958108,0.665866,4.15211,3.046813,4.94536986926104,45.025284278877784,92.2466130071028,1
4,8,0.966587,0.657097,4.328975,1.854329,4.94033903657611,39.07044776735928,91.9674676792453,1
4,9,0.966587,0.666118,4.328975,1.85844,4.87175130736181,36.76916483158107,92.3378686162038,1
4,10,0.966587,0.670109,4.328975,1.880823,4.85317530821714,36.23921054365527,92.4876762243135,1
4,11,0.966587,0.670109,4.328975,1.880823,4.85317530821705,36.23921054364914,92.4876762243562,1
4,12,0.968067,0.675219,4.097393,2.320387,4.8182257895882,34.58430500897174,92.3915047420422,1
4,13,0.801894,0.662441,4.339451,3.15137,4.64031558815181,57.729871075220714,93.1815137926819,1
4,14,0.997872,0.680733,3.167901,1.836486,4.57403487223343,26.75202343970505,89.9371011243631,1
4,15,0.908438,0.695194,3.925164,2.87681,4.56368814399206,50.22775966811872,92.8251832450057,1
4,16,0.856386,0.674413,4.000229,2.008436,4.55829450980931,39.406780999525296,92.8430660910912,1
4,17,0.985634,0.706138,3.756687,1.662503,4.55762247966174,34.339932256220976,92.1672700242572,1
4,18,0.830412,0.678415,3.992818,2.90081,4.52374768151686,41.06341330573803,93.1191540418282,1
4,19,0.78635,0.677899,4.324901,2.87681,4.45108844703612,45.70091907527092,93.5577793332235,1
4,20,0.91771,0.730544,3.875744,2.132919,4.31367119034373,31.691103050195586,92.6049111206198,1
4,21,0.950408,0.74284,4.492521,1.690977,4.30989317651636,25.60162504230739,92.849888425957,1
4,22,0.949962,0.74284,4.49472,1.635962,4.30899307740099,26.75974830684594,92.875062164635,1
4,23,0.934486,0.74284,3.768602,1.690977,4.26178105243045,21.163844598236064,92.2936930789737,1
4,24,0.93404,0.74284,3.793775,1.578391,4.25984104439214,23.94624161326164,92.3605419090761,1
4,25,0.728887,0.687756,4.490319,3.264194,4.23157245527846,66.33664278635159,93.6268490430243,1
4,26,0.840274,0.719868,3.777513,1.721781,4.2141593485392,35.98111262255525,92.997571548069,1
4,27,0.843923,0.729285,3.875744,1.530471,4.16325287749778,23.754676607994185,93.0223216457248,1
4,28,0.842747,0.729285,3.875744,1.530471,4.16056648730738,23.51658546270203,93.0252221126345,1
4,29,0.668589,0.678415,3.993218,2.922159,4.14518587294719,54.90457418751497,93.6687541734259,1
4,30,0.668589,0.678415,3.993218,2.932367,4.14151510082185,54.80371486268072,93.6711259604981,1
4,31,0.856386,0.742448,3.927831,2.116395,4.11070792876809,17.895896750605957,92.3708000078237,1
4,32,0.856447,0.747204,3.927831,2.116395,4.07917345873564,18.13206057319746,92.3718617047495,1
4,33,0.840274,0.761908,3.038771,2.268143,3.90823067186911,15.518070860003796,90.6532066194329,1
4,34,0.680925,0.729285,3.876144,1.56394,3.83029963955358,34.75034986320972,93.3384146478012,1
4,35,0.69097,0.735832,3.706032,1.739497,3.81568381676538,28.895535027099566,93.040031444774,1
4,36,0.645292,0.72506,3.748126,1.655868,3.7846548592122,41.44199534028025,93.3902677240172,1
4,37,0.962313,0.765782,4.150752,3.061461,4.1389762813048,27.836169031839525,90.7087324669819,1
4,38,0.950238,0.652019,4.091264,2.935483,5.00598703987689,58.62709256014366,91.6209618802825,1
4,39,0.967853,0.666757,3.986405,2.342736,4.85545827230251,38.753519368694036,91.922145502266,1
4,40,0.957937,0.653692,3.993523,3.093606,5.01116013718961,59.76623240494134,91.4571524129445,1
4,41,0.848162,0.686508,4.022366,1.528024,4.44474643671869,48.12726229448546,93.0618276894474,1
4,42,0.975153,0.70564,4.028217,2.686001,4.63316473403882,50.569422140047074,92.668634622299,1
4,43,0.609527,0.72506,3.770976,1.655868,3.70814930197374,45.83470959115055,93.3945641405553,1
4,44,0.591022,0.729409,3.031471,1.658944,3.59966360443251,39.02044542032802,92.8906714208541,1
4,45,0.92489,0.691115,3.623522,1.67218,4.50811500734995,39.080101247995714,92.0794869513911,1
4,46,0.842659,0.729285,3.875744,2.132919,4.16004596316924,37.1443331553108,92.8741970847317,1
4,47,0.790841,0.677901,4.327567,2.062708,4.43211243344852,52.03163108250638,93.4954578197055,1
5,0,0.917358,0.729661,4.471279,2.132919,4.32168381949519,34.31219934689279,93.0320232595494,1
5,1,0.856447,0.747204,3.927831,2.116395,4.07917345873564,18.13206057319746,92.3718617047495,1
5,2,0.975324,0.65678,4.110755,2.694862,5.00052034716564,47.8337572837573,91.6981059968509,1
5,3,0.985634,0.706138,3.756687,1.662503,4.55762247966174,34.339932256220976,92.1672700242572,1
5,4,0.975153,0.656643,4.031281,2.686001,4.97857041491688,47.174056332548645,92.6721009101179,1
5,5,0.968067,0.675219,4.097393,2.320387,4.8182257895882,34.58430500897174,92.3915047420422,1
5,6,0.842747,0.729285,3.875744,1.530471,4.16056648730738,23.51658546270203,93.0252221126345,1
5,7,0.950408,0.74284,4.492521,1.690977,4.30989317651636,25.60162504230739,92.849888425957,1
5,8,0.668589,0.678415,3.993218,2.932367,4.14151510082185,54.80371486268072,93.6711259604981,1
5,9,0.966705,0.658758,4.15211,3.046813,5.01899468531843,54.064080444699336,91.9109542313479,1
5,10,0.830412,0.678415,3.992818,2.90081,4.52374768151686,41.06341330573803,93.1191540418282,1
5,11,0.680925,0.729285,3.876144,1.56394,3.83029963955358,34.75034986320972,93.3384146478012,1
5,12,0.996837,0.686533,3.844839,3.093606,4.8395781744952,31.89443939833833,91.9930839310266,1
5,13,0.95076,0.743723,3.88941,1.690977,4.2958971033975,21.80992236096898,92.3644931858532,1
5,14,0.996492,0.652272,4.090903,2.127976,5.00534394815066,39.802078058026275,91.2271490031843,1
5,15,0.856386,0.674413,4.000229,2.008436,4.55829450980931,39.406780999525296,92.8430660910912,1
5,16,0.957619,0.665953,4.15211,2.713813,4.90554282250181,41.362256479752524,92.2568497700626,1
5,17,0.728887,0.687756,4.490319,3.264194,4.23157245527846,66.33664278635159,93.6268490430243,1
5,18,0.997872,0.680733,3.167901,1.836486,4.57403487223343,26.75202343970505,89.9371011243631,1
5,19,0.645292,0.72506,3.748126,1.655868,3.7846548592122,41.44199534028025,93.3902677240172,1
5,20,0.949962,0.74284,4.49472,1.635962,4.30899307740106,26.75974830683692,92.875062164635,1
5,21,0.801894,0.662441,4.339451,3.15137,4.64031558815181,57.729871075220714,93.1815137926819,1
5,22,0.91771,0.730544,3.875744,2.132919,4.31367119034373,31.691103050195586,92.6049111206198,1
5,23,0.840274,0.761908,3.038771,2.268143,3.90823067186911,15.518070860003796,90.6532066194329,1
5,24,0.975324,0.656768,4.153051,2.694862,5.01119080128709,47.90884017382655,91.7681709981322,1
5,25,0.997872,0.678089,3.167901,1.836486,4.58451481221489,27.19224602348381,89.8484644539141,1
5,26,0.934486,0.74284,3.768602,1.690977,4.26178105243045,21.163844598236064,92.2936930789737,1
5,27,0.840274,0.761521,2.997278,2.115018,3.90186038421606,17.676535612388484,90.6542717626651,1
5,28,0.668589,0.678415,3.993218,2.922159,4.14518587294719,54.90457418751497,93.6687541734259,1
5,29,0.908438,0.695194,3.925164,2.87681,4.56368814399206,50.22775966811872,92.8251832450057,1
5,30,0.976163,0.651124,4.092651,2.935333,5.07291368855684,57.85959271172138,91.3796022387037,1
5,31,0.856386,0.742448,3.927831,2.116395,4.11070792876809,17.895896750605957,92.3708000078237,1
5,32,0.806073,0.67509,4.339451,3.151041,4.54643077002619,45.23665427441717,93.4515691350124,1
5,33,0.963874,0.662571,4.097393,2.320716,4.89882664311742,40.251347207156456,91.9786116082977,1
5,34,0.680925,0.729281,3.713899,1.564947,3.83419763282947,33.9193124337032,93.2863924656877,1
5,35,0.843923,0.729285,3.875744,1.530471,4.16325287749778,23.754676607994185,93.0223216457248,1
